subject,accuracy
2,0.8829787234042553
3,0.7916666666666666
4,0.8160919540229885
5,0.8735632183908046
6,0.8333333333333334
7,0.8888888888888888
8,0.8620689655172413
9,0.8888888888888888
10,0.8923076923076924
11,0.75
12,0.8457446808510638
13,0.8796296296296297
14,0.8017241379310345
15,0.8888888888888888
16,0.925
17,0.8455284552845529
18,0.8850574712643678
19,0.8240740740740741
20,0.8275862068965517
21,0.8194444444444444
22,0.8415841584158416
23,0.8118811881188119
24,0.875
25,0.8189655172413793
26,0.875
28,0.8175182481751825
29,0.8362068965517241
30,0.8615384615384616
31,0.7888888888888889
32,0.8611111111111112
33,0.8703703703703703
34,0.8404255319148937
35,0.764102564102564
36,0.7875
37,0.7446808510638298
38,0.7978723404255319
39,0.853448275862069
40,0.8211382113821138
41,0.8415841584158416
42,0.7931034482758621
43,0.8333333333333334
