subject,acc3DCNN,accSVM,accParallel,accCMCNN
2,88.29787234,80.14184397,86.83510638,81.91489362
3,79.16666667,90.74074074,88.19444444,93.05555556
4,81.6091954,95.38461538,87.35465116,87.20930233
5,87.35632184,91.53846154,87.93604651,86.04651163
6,83.33333333,83.33333333,86.34259259,87.96296296
7,88.88888889,87.96296296,80.81597222,88.88888889
8,86.20689655,87.69230769,91.24273256,88.37209302
9,88.88888889,90.12345679,91.00115741,89.81481481
10,89.23076923,92.85714286,92.24759615,83.07692308
11,75,85.71428571,80.35007911,84.81012658
12,84.57446809,81.49466192,81.9741533,91.44385027
13,87.96296296,85.80246914,86.63194444,88.88888889
14,80.17241379,88.43930636,79.75543478,85.2173913
15,88.88888889,86.11111111,83.85416667,84.72222222
16,92.5,86.55462185,84.59256329,83.5443038
17,84.55284553,87.5,88.71670082,84.42622951
18,88.50574713,88.46153846,86.19186047,88.37209302
19,82.40740741,86.41975309,88.83101852,86.11111111
20,82.75862069,83.07692308,84.62936047,84.88372093
21,81.94444444,93.51851852,84.63541667,90.27777778
22,84.15841584,85.52631579,78.17141089,83.16831683
23,81.18811881,84.86842105,83.77165842,86.13861386
24,87.5,89.91596639,88.05379747,86.07594937
25,81.89655172,88.43930636,86.44701087,86.08695652
26,87.5,90.74074074,89.75694444,90.27777778
28,81.75182482,82.03883495,76.62332725,78.10218978
29,83.62068966,90.1734104,86.44701087,80.86956522
30,86.15384615,89.79591837,87.59615385,84.61538462
31,78.88888889,85.18518519,77.33796296,83.88888889
32,86.11111111,87.03703704,80.90277778,88.88888889
33,87.03703704,86.41975309,81.36574074,87.03703704
34,84.04255319,89.36170213,96.30984043,81.91489362
35,76.41025641,84.24657534,77.71893793,79.89690722
36,78.75,86.55462185,86.00672468,87.34177215
37,74.46808511,83.68794326,90.52526596,89.36170213
38,79.78723404,82.26950355,84.2087766,90.42553191
39,85.34482759,85.54913295,78.28125,77.39130435
40,82.11382114,84.7826087,87.97387295,82.78688525
41,84.15841584,81.57894737,87.60055693,91.08910891
42,79.31034483,82.08092486,72.11277174,86.08695652
43,83.33333333,91.66666667,95.65972222,88.88888889
