subject,acc3DCNN,accSVM,accParallel,accCMCNN
2,91.4893617,80.14184397,89.30629433,88.29787234
3,88.88888889,90.74074074,95.54398148,95.83333333
4,88.50574713,95.38461538,90.78246124,90.69767442
5,91.95402299,91.53846154,91.30329457,88.37209302
6,80.55555556,83.33333333,86.5306713,89.81481481
7,86.11111111,87.96296296,90.50925926,86.11111111
8,89.65517241,87.69230769,85.58624031,87.20930233
9,86.11111111,90.12345679,87.35532407,91.66666667
10,93.84615385,92.85714286,85.49679487,93.84615385
11,92.5,85.71428571,85.46281646,84.81012658
12,88.82978723,81.49466192,85.69314468,91.97860963
13,91.66666667,85.80246914,93.30150463,87.03703704
14,81.03448276,88.43930636,84.84601449,83.47826087
15,87.5,86.11111111,93.98148148,87.5
16,95,86.55462185,86.50448312,86.07594937
17,90.24390244,87.5,85.70910178,86.06557377
18,85.05747126,88.46153846,84.27810078,86.04651163
19,85.18518519,86.41975309,84.89583333,85.18518519
20,93.10344828,83.07692308,87.26986434,90.69767442
21,98.61111111,93.51851852,83.96990741,88.88888889
22,92.07920792,85.52631579,82.92723804,81.18811881
23,87.12871287,84.86842105,83.90444513,85.14851485
24,92.5,89.91596639,85.04087553,93.67088608
25,81.89655172,88.43930636,88.44995471,84.34782609
26,90.27777778,90.74074074,87.96296296,94.44444444
28,79.5620438,82.03883495,76.00479015,86.13138686
29,83.62068966,90.1734104,78.50769928,80
30,83.07692308,89.79591837,92.74038462,84.61538462
31,78.33333333,85.18518519,86.18055556,83.88888889
32,90.27777778,87.03703704,89.0625,87.5
33,94.44444444,86.41975309,86.47280093,88.88888889
34,88.29787234,89.36170213,80.09751773,89.36170213
35,90.25641026,84.24657534,83.53054431,84.53608247
36,90,86.55462185,88.48892405,84.81012658
37,77.65957447,83.68794326,90.91312057,87.23404255
38,88.29787234,82.26950355,84.07579787,88.29787234
39,87.06896552,85.54913295,85.93070652,84.34782609
40,90.24390244,84.7826087,87.60672814,90.16393443
41,84.15841584,81.57894737,85.58426155,88.11881188
42,86.20689655,82.08092486,76.29076087,87.82608696
43,88.88888889,91.66666667,94.03935185,91.66666667
