subject,acc3DCNN,accSVM,accParallel,accCMCNN
2,91.4893617,80.14184397,89.30629433,77.65957447
3,88.88888889,90.74074074,95.54398148,94.44444444
4,88.50574713,95.38461538,90.78246124,93.02325581
5,91.95402299,91.53846154,91.30329457,84.88372093
6,80.55555556,83.33333333,86.5306713,84.25925926
7,86.11111111,87.96296296,90.50925926,81.94444444
8,89.65517241,87.69230769,85.58624031,82.55813953
9,86.11111111,90.12345679,87.35532407,87.03703704
10,93.84615385,92.85714286,85.49679487,90.76923077
11,92.5,85.71428571,85.46281646,83.5443038
12,88.82978723,81.49466192,85.69314468,80.21390374
13,91.66666667,85.80246914,93.30150463,82.40740741
14,81.03448276,88.43930636,84.84601449,62.60869565
15,87.5,86.11111111,93.98148148,91.66666667
16,95,86.55462185,86.50448312,82.27848101
17,90.24390244,87.5,85.70910178,85.24590164
18,85.05747126,88.46153846,84.27810078,81.39534884
19,85.18518519,86.41975309,84.89583333,87.96296296
20,93.10344828,83.07692308,87.26986434,88.37209302
21,98.61111111,93.51851852,83.96990741,84.72222222
22,92.07920792,85.52631579,82.92723804,87.12871287
23,87.12871287,84.86842105,83.90444513,83.16831683
24,92.5,89.91596639,85.04087553,86.07594937
25,81.89655172,88.43930636,88.44995471,87.82608696
26,90.27777778,90.74074074,87.96296296,81.94444444
28,79.5620438,82.03883495,76.00479015,81.75182482
29,83.62068966,90.1734104,78.50769928,81.73913043
30,83.07692308,89.79591837,92.74038462,80
31,78.33333333,85.18518519,86.18055556,78.88888889
32,90.27777778,87.03703704,89.0625,83.33333333
33,94.44444444,86.41975309,86.47280093,87.96296296
34,88.29787234,89.36170213,80.09751773,90.42553191
35,90.25641026,84.24657534,83.53054431,80.92783505
36,90,86.55462185,88.48892405,83.5443038
37,77.65957447,83.68794326,90.91312057,85.10638298
38,88.29787234,82.26950355,84.07579787,78.72340426
39,87.06896552,85.54913295,85.93070652,85.2173913
40,90.24390244,84.7826087,87.60672814,84.42622951
41,84.15841584,81.57894737,85.58426155,49.5049505
42,86.20689655,82.08092486,76.29076087,85.2173913
43,88.88888889,91.66666667,94.03935185,90.27777778
